State,Site,Lat,Long,First_Growing_Season,age_at_survey,burn,last.burn,CEC,pH,OM_perc,Ca_perc,Mg_perc,K_perc,P_BrayI,N_perc,mayaug_precip,seedrichness,soilpc1,soilpc2,MPDwithin,MNTDwithin
Michigan,ELF_ParsonsNorth,41.968769,-85.9944005,2011,5,.,5,8.39,5.7,1.81,52.38,11.82,4.4,19,0.1,16.54,69,1.474812773,0.393909115,-0.196135672,-1.732484887
Michigan,GilchristPhase1,41.980393,-85.737377,2006,10,2006,10,5.8,6.2,1.95,57.84,19.97,3.54,65,0.13,15.58,19,0.633865773,-0.479341221,-1.149193845,-0.70929709
Michigan,GilchristPhase2,41.980393,-85.737377,2007,9,2007,9,8.35,5.3,3.02,43.17,10.18,2.76,35,0.16,13.09,26,1.899598724,1.823627042,0.139520162,-1.150296365
Michigan,Groos_Prairie,42.5915888,-85.41521931,2008,8,2013,3,3.28,5.4,1.86,46.95,5.59,4.77,57,0.11,10.82,38,2.879275486,0.774815002,0.07469166,-1.848910699
Michigan,Groos_SESavanna,42.58977817,-85.41586996,2006,10,2011,5,2.77,5.1,1.33,34.66,6.02,5.74,84,0.08,15.58,34,4.146063145,0.838388964,-1.298411249,-0.712202988
Michigan,Groos_SWSavanna,42.58957289,-85.41878051,2008,8,2013,3,4.83,5.4,1.5,43.37,10.18,4.94,19,0.1,10.82,33,2.650033285,0.441804026,-0.522328451,-1.314433964
Michigan,HillcrestTall,42.58957289,-85.41878051,2005,11,2005,11,6.73,6.2,2.03,67.31,9.91,4.15,41,0.08,15.02,36,0.546862087,-0.120803969,0.649803765,-1.299105814
Michigan,HuronTDr,42.102572,-85.268045,2012,4,2016,0,5.01,5.8,1.09,53.59,14.47,3.22,14,0.025,7.49,20,1.469887768,-0.097101798,-1.910419192,-1.897398624
Michigan,KildeaBack,42.18328982,-85.68015872,2007,9,2007,9,3.44,5.1,1.15,36.48,5.57,5.81,55,0.025,13.09,21,3.949424958,0.748159983,0.255971287,-0.884035133
Michigan,KNC_Central,42.35257809,-85.58755715,2005,11,2010,6,11.18,5.7,2.71,52.95,13.94,2.34,25,0.025,15.02,30,0.684029584,1.238294548,0.684232286,-1.749942326
Michigan,KNC_North,42.35489635,-85.58670393,2006,10,2011,5,13.31,6,3.94,64.84,12.65,1.25,7,0.2,15.58,30,-0.796684922,1.643451032,-0.222988468,-1.749675759
Michigan,KNC_South,42.34688311,-85.58523419,2006,10,2011,5,10.46,6.8,3.25,70.17,18.96,2.38,14,0.2,15.58,30,-1.492568382,-0.116577639,-1.920992366,-1.333748521
Michigan,Mehring,42.18588623,-85.66283565,2008,8,2014,2,5.21,5.9,1.94,58.35,13.92,2.17,42,0.09,10.82,38,0.940840104,0.353650802,-0.211776122,-1.826441693
Michigan,Monsanto,41.8153525,-85.663674,2009,7,2014,2,9.85,7.7,2.16,79.04,13.62,2.71,46,0.09,10.71,16,-1.855862439,-0.988498872,-1.497228321,-1.689761217
Michigan,PokagonEast,41.948133,-86.15945,2012,4,2015,1,4.63,6.8,1.13,66.85,19.44,4.32,57,0.07,7.49,19,0.079879901,-1.609870599,-0.403942395,-1.493770891
Michigan,PokagonWest,41.94813,-86.162376,2012,4,2015,1,4.57,5.8,1.54,52.52,13.31,5.16,98,0.09,7.49,33,2.120475927,-0.203545009,-2.930681817,-2.12469647
Michigan,SandCreekDryEast,42.34782431,-85.73915687,2004,12,2010,6,4.77,6,1.48,58.28,15.2,4.03,206,0.08,19.76,55,1.972171714,-0.195612898,0.900805081,-1.173941858
Michigan,SandCreekMesic,42.34888649,-85.74359998,2004,12,2010,6,16.87,5.7,6.76,56.22,11.76,1.29,25,0.29,19.76,68,-1.020500939,3.365391606,0.747646592,-1.043536661
